key,context,en,fr,it,de,es,ru,zh,ja,ko
skill.berserker.critdmg.upgrade,(generated),Increase critical strike damage further,Augmente encore les dégâts des coups critiques,Aumenta ulteriormente i danni dei colpi critici,Erhöht den kritischen Schaden weiter,Aumenta aún más el daño de golpe crítico,Ещё больше увеличивает урон критических ударов,进一步提升暴击伤害,クリティカルダメージをさらに増加,치명타 피해 추가 증가
skill.berserker.horse_heal.desc,(generated),Health Packs your horse runs over also heal the horse,Les kits de soin écrasés par votre cheval le soignent aussi,I kit medici calpestati dal tuo cavallo curano anche il cavallo,"Heilpakete, die dein Pferd überläuft, heilen auch das Pferd",Los botiquines que tu caballo pisa también curan al caballo,"Аптечки, по которым пробегает ваша лошадь, лечат и её",你的马踩过的治疗包也会治疗马匹,馬が踏んだ回復パックは馬も回復する,말이 밟은 회복 팩이 말도 치유합니다
skill.berserker.horse_heal.name,(generated),Stable Diet,Régime d'écurie,Dieta da stalla,Stallkost,Dieta de establo,Конюшенный рацион,马厩食谱,馬小屋の食事,마구간 식단
skill.berserker.horse_health.desc,(generated),Increase your horse's max health,Augmente la santé maximale de votre cheval,Aumenta la salute massima del tuo cavallo,Erhöht die maximale Gesundheit deines Pferdes,Aumenta la salud máxima de tu caballo,Увеличивает максимальное здоровье вашей лошади,提升马匹的最大生命值,馬の最大体力を増加,말의 최대 체력 증가
skill.berserker.horse_health.name,(generated),Barded Steed,Destrier caparaçonné,Destriero bardato,Gepanzertes Ross,Corcel acorazado,Бронированный скакун,披甲战马,装甲の軍馬,무장한 군마
skill.berserker.horse_health.upgrade,(generated),Increase your horse's max health further,Augmente encore la santé maximale de votre cheval,Aumenta ulteriormente la salute massima del tuo cavallo,Erhöht die maximale Gesundheit deines Pferdes weiter,Aumenta aún más la salud máxima de tu caballo,Ещё больше увеличивает максимальное здоровье вашей лошади,进一步提升马匹的最大生命值,馬の最大体力をさらに増加,말의 최대 체력 추가 증가
skill.berserker.horse_speed.desc,(generated),Increase your horse's speed,Augmente la vitesse de votre cheval,Aumenta la velocità del tuo cavallo,Erhöht die Geschwindigkeit deines Pferdes,Aumenta la velocidad de tu caballo,Увеличивает скорость вашей лошади,提升马匹速度,馬の速度を増加,말의 속도 증가
skill.berserker.horse_speed.name,(generated),Thoroughbred,Pur-sang,Purosangue,Vollblut,Purasangre,Чистокровный,纯种马,サラブレッド,순종마
skill.berserker.horse_speed.upgrade,(generated),Increase your horse's speed further,Augmente encore la vitesse de votre cheval,Aumenta ulteriormente la velocità del tuo cavallo,Erhöht die Geschwindigkeit deines Pferdes weiter,Aumenta aún más la velocidad de tu caballo,Ещё больше увеличивает скорость вашей лошади,进一步提升马匹速度,馬の速度をさらに増加,말의 속도 추가 증가
skill.berserker.horse_unlock.desc,(generated),Unlock horse riding: jump onto a riderless horse to mount and press X to dismount,Débloque l'équitation : sautez sur un cheval sans cavalier pour le monter et appuyez sur X pour descendre,Sblocca l'equitazione: salta su un cavallo senza cavaliere per montarlo e premi X per smontare,"Schaltet das Reiten frei: Springe auf ein reiterloses Pferd, um aufzusitzen, und drücke X zum Absitzen",Desbloquea la equitación: salta sobre un caballo sin jinete para montarlo y pulsa X para desmontar,"Открывает верховую езду: запрыгните на лошадь без всадника, чтобы сесть верхом, и нажмите X, чтобы спешиться",解锁骑马：跳上无主之马即可骑乘，按X下马,騎乗を解放：乗り手のいない馬に飛び乗って騎乗し、Xで降りる,승마 해금: 주인 없는 말에 올라타 탑승하고 X를 눌러 내립니다
skill.berserker.horse_unlock.name,(generated),Saddle Up,En selle,In sella,Aufgesattelt,A caballo,По коням,上马,鞍上へ,안장에 올라
skill.berserker.impchance.desc,(generated),Increase Impulse Goblin spawn chance,Augmente les chances d'apparition des Gobelins d'impulsion,Aumenta la probabilità di comparsa dei Goblin Impulso,Erhöht die Erscheinungschance von Impuls-Goblins,Aumenta la probabilidad de aparición de los Goblins de impulso,Увеличивает шанс появления импульсных гоблинов,提升脉冲哥布林的出现几率,インパルスゴブリンの出現率を増加,임펄스 고블린 등장 확률 증가
skill.berserker.impchance.name,(generated),Impulse Scent,Flair d'impulsion,Fiuto d'impulso,Impulswitterung,Olfato de impulso,Импульсное чутьё,脉冲嗅觉,インパルスの嗅覚,임펄스 감지
skill.berserker.impchance.upgrade,(generated),Increase Impulse Goblin spawn chance further,Augmente encore les chances d'apparition des Gobelins d'impulsion,Aumenta ulteriormente la probabilità di comparsa dei Goblin Impulso,Erhöht die Erscheinungschance von Impuls-Goblins weiter,Aumenta aún más la probabilidad de aparición de los Goblins de impulso,Ещё больше увеличивает шанс появления импульсных гоблинов,进一步提升脉冲哥布林的出现几率,インパルスゴブリンの出現率をさらに増加,임펄스 고블린 등장 확률 추가 증가
skill.berserker.impdur.desc,(generated),Increase impulse buff duration,Augmente la durée du bonus d'impulsion,Aumenta la durata del potenziamento impulso,Erhöht die Dauer des Impuls-Buffs,Aumenta la duración de la mejora de impulso,Увеличивает длительность импульсного усиления,提升脉冲增益持续时间,インパルスバフの持続時間を増加,임펄스 버프 지속시간 증가
skill.berserker.impdur.name,(generated),Lingering Impulse,Impulsion persistante,Impulso persistente,Anhaltender Impuls,Impulso persistente,Стойкий импульс,持久脉冲,残留インパルス,지속되는 임펄스
skill.berserker.impdur.upgrade,(generated),Increase impulse buff duration further,Augmente encore la durée du bonus d'impulsion,Aumenta ulteriormente la durata del potenziamento impulso,Erhöht die Dauer des Impuls-Buffs weiter,Aumenta aún más la duración de la mejora de impulso,Ещё больше увеличивает длительность импульсного усиления,进一步提升脉冲增益持续时间,インパルスバフの持続時間をさらに増加,임펄스 버프 지속시간 추가 증가
skill.berserker.imppower_1.desc,(generated),Increase impulse power,Augmente la puissance d'impulsion,Aumenta la potenza dell'impulso,Erhöht die Impulskraft,Aumenta el poder de impulso,Увеличивает силу импульса,提升脉冲威力,インパルスの威力を増加,임펄스 위력 증가
skill.berserker.imppower_1.name,(generated),Impulse Power,Puissance d'impulsion,Potenza d'impulso,Impulskraft,Poder de impulso,Сила импульса,脉冲威力,インパルスパワー,임펄스 파워
skill.berserker.imppower_1.upgrade,(generated),Increase impulse power further,Augmente encore la puissance d'impulsion,Aumenta ulteriormente la potenza dell'impulso,Erhöht die Impulskraft weiter,Aumenta aún más el poder de impulso,Ещё больше увеличивает силу импульса,进一步提升脉冲威力,インパルスの威力をさらに増加,임펄스 위력 추가 증가
skill.berserker.impulse_unlock.desc,(generated),Impulse Goblins: collect their orbs to supercharge the knockback on your axe,Gobelins d'impulsion : récupérez leurs orbes pour surcharger le recul de votre hache,Goblin Impulso: raccogli le loro sfere per potenziare il contraccolpo della tua ascia,"Impuls-Goblins: Sammle ihre Kugeln, um den Rückstoß deiner Axt aufzuladen",Goblins de impulso: recoge sus orbes para sobrecargar el retroceso de tu hacha,"Импульсные гоблины: собирайте их сферы, чтобы усилить отбрасывание вашего топора",脉冲哥布林：收集它们的宝珠，为你的斧头强化击退效果,インパルスゴブリン：オーブを集めて斧のノックバックを超強化,임펄스 고블린: 오브를 모아 도끼의 넉백을 강화하세요
skill.berserker.impulse_unlock.name,(generated),Impulse,Impulsion,Impulso,Impuls,Impulso,Импульс,脉冲,インパルス,임펄스
skill.berserker.knock_1.desc,(generated),Knockback enemies on hit,Repousse les ennemis à chaque coup,Respingi i nemici a ogni colpo,Stößt Gegner bei Treffern zurück,Empuja a los enemigos al golpear,Отбрасывает врагов при попадании,攻击命中时击退敌人,攻撃命中時に敵をノックバック,공격 적중 시 적을 밀쳐냅니다
skill.berserker.knock_1.name,(generated),Brute Force,Force brute,Forza bruta,Rohe Gewalt,Fuerza bruta,Грубая сила,蛮力,剛力,완력
skill.berserker.knock_2.desc,(generated),Increase knockback force,Augmente la force de recul,Aumenta la forza di respinta,Erhöht die Rückstoßkraft,Aumenta la fuerza de retroceso,Увеличивает силу отбрасывания,提升击退力度,ノックバックの威力を増加,넉백 위력 증가
skill.berserker.knock_2.name,(generated),Stronger Blows,Coups renforcés,Colpi più forti,Stärkere Hiebe,Golpes más fuertes,Мощные удары,强力打击,強打,강력한 일격
skill.berserker.knock_2.upgrade,(generated),Increase knockback force further,Augmente encore la force de recul,Aumenta ulteriormente la forza di respinta,Erhöht die Rückstoßkraft weiter,Aumenta aún más la fuerza de retroceso,Ещё больше увеличивает силу отбрасывания,进一步提升击退力度,ノックバックの威力をさらに増加,넉백 위력 추가 증가
skill.berserker.lightbounce.desc,(generated),Increase chain lightning bounces,Augmente le nombre de rebonds des éclairs en chaîne,Aumenta i rimbalzi del fulmine a catena,Erhöht die Sprünge des Kettenblitzes,Aumenta los rebotes del relámpago encadenado,Увеличивает число отскоков цепной молнии,增加连锁闪电的弹射次数,チェインライトニングの跳ね回数を増加,연쇄 번개 튕김 횟수 증가
skill.berserker.lightbounce.name,(generated),Arc Chain,Chaîne d'arcs,Catena d'arco,Lichtbogenkette,Cadena de arcos,Дуговая цепь,电弧连锁,アークチェイン,아크 체인
skill.berserker.lightbounce.upgrade,(generated),Increase chain lightning bounces further,Augmente encore le nombre de rebonds des éclairs en chaîne,Aumenta ulteriormente i rimbalzi del fulmine a catena,Erhöht die Sprünge des Kettenblitzes weiter,Aumenta aún más los rebotes del relámpago encadenado,Ещё больше увеличивает число отскоков цепной молнии,进一步增加连锁闪电的弹射次数,チェインライトニングの跳ね回数をさらに増加,연쇄 번개 튕김 횟수 추가 증가
skill.berserker.lightcrit.desc,(generated),Increase chain lightning crit chance,Augmente les chances de critique des éclairs en chaîne,Aumenta la probabilità di critico del fulmine a catena,Erhöht die kritische Trefferchance des Kettenblitzes,Aumenta la probabilidad de crítico del relámpago encadenado,Увеличивает шанс критического удара цепной молнии,提升连锁闪电的暴击几率,チェインライトニングのクリティカル率を増加,연쇄 번개 치명타 확률 증가
skill.berserker.lightcrit.name,(generated),Static Discharge,Décharge statique,Scarica statica,Statische Entladung,Descarga estática,Статический разряд,静电释放,静電放電,정전기 방출
skill.berserker.lightcrit.upgrade,(generated),Increase chain lightning crit chance further,Augmente encore les chances de critique des éclairs en chaîne,Aumenta ulteriormente la probabilità di critico del fulmine a catena,Erhöht die kritische Trefferchance des Kettenblitzes weiter,Aumenta aún más la probabilidad de crítico del relámpago encadenado,Ещё больше увеличивает шанс критического удара цепной молнии,进一步提升连锁闪电的暴击几率,チェインライトニングのクリティカル率をさらに増加,연쇄 번개 치명타 확률 추가 증가
skill.berserker.lightdmg.desc,(generated),Increase chain lightning damage,Augmente les dégâts des éclairs en chaîne,Aumenta i danni del fulmine a catena,Erhöht den Schaden des Kettenblitzes,Aumenta el daño del relámpago encadenado,Увеличивает урон цепной молнии,提升连锁闪电伤害,チェインライトニングのダメージを増加,연쇄 번개 피해 증가
skill.berserker.lightdmg.name,(generated),Overcharged Bolts,Foudres surchargées,Fulmini sovraccarichi,Überladene Blitze,Rayos sobrecargados,Перегруженные молнии,过载雷电,オーバーチャージボルト,과충전 번개
skill.berserker.lightdmg.upgrade,(generated),Increase chain lightning damage further,Augmente encore les dégâts des éclairs en chaîne,Aumenta ulteriormente i danni del fulmine a catena,Erhöht den Schaden des Kettenblitzes weiter,Aumenta aún más el daño del relámpago encadenado,Ещё больше увеличивает урон цепной молнии,进一步提升连锁闪电伤害,チェインライトニングのダメージをさらに増加,연쇄 번개 피해 추가 증가
skill.berserker.lightdur.desc,(generated),Increase chain lightning buff duration,Augmente la durée du bonus d'éclairs en chaîne,Aumenta la durata del potenziamento del fulmine a catena,Erhöht die Dauer des Kettenblitz-Buffs,Aumenta la duración de la mejora de relámpago encadenado,Увеличивает длительность усиления цепной молнии,提升连锁闪电增益持续时间,チェインライトニングバフの持続時間を増加,연쇄 번개 버프 지속시간 증가
skill.berserker.lightdur.name,(generated),Lingering Charge,Charge persistante,Carica persistente,Anhaltende Ladung,Carga persistente,Стойкий заряд,持久电荷,残留チャージ,지속되는 충전
skill.berserker.lightdur.upgrade,(generated),Increase chain lightning buff duration further,Augmente encore la durée du bonus d'éclairs en chaîne,Aumenta ulteriormente la durata del potenziamento del fulmine a catena,Erhöht die Dauer des Kettenblitz-Buffs weiter,Aumenta aún más la duración de la mejora de relámpago encadenado,Ещё больше увеличивает длительность усиления цепной молнии,进一步提升连锁闪电增益持续时间,チェインライトニングバフの持続時間をさらに増加,연쇄 번개 버프 지속시간 추가 증가
skill.berserker.lightning_unlock.desc,(generated),"Storm Witches drop Lightning Orbs, charging your axe with chain lightning","Les Sorcières des tempêtes lâchent des orbes de foudre, chargeant votre hache d'éclairs en chaîne","Le Streghe della tempesta lasciano cadere Sfere di fulmine, caricando la tua ascia di fulmini a catena","Sturmhexen lassen Blitzkugeln fallen, die deine Axt mit Kettenblitzen aufladen","Las Brujas de la tormenta sueltan orbes de rayo, cargando tu hacha con relámpagos encadenados","Грозовые ведьмы роняют сферы молний, заряжающие ваш топор цепной молнией",风暴女巫会掉落闪电宝珠，为你的斧头注入连锁闪电,ストームウィッチはライトニングオーブを落とし、あなたの斧にチェインライトニングを宿す,폭풍 마녀가 번개 오브를 떨어뜨려 도끼에 연쇄 번개를 부여합니다
skill.berserker.lightning_unlock.name,(generated),Chain Lightning,Éclair en chaîne,Fulmine a catena,Kettenblitz,Relámpago encadenado,Цепная молния,连锁闪电,チェインライトニング,연쇄 번개
skill.berserker.medpack.desc,(generated),Increase Health Pack heal amount,Augmente les soins des kits de soin,Aumenta la cura dei kit medici,Erhöht die Heilung von Heilpaketen,Aumenta la curación de los botiquines,Увеличивает лечение от аптечек,提升治疗包的治疗量,回復パックの回復量を増加,회복 팩 회복량 증가
skill.berserker.medpack.name,(generated),Field Medic,Médecin de campagne,Medico da campo,Feldsanitäter,Médico de campaña,Полевой медик,战地医师,フィールドメディック,야전 의무병
skill.berserker.medpack.upgrade,(generated),Increase Health Pack heal amount further,Augmente encore les soins des kits de soin,Aumenta ulteriormente la cura dei kit medici,Erhöht die Heilung von Heilpaketen weiter,Aumenta aún más la curación de los botiquines,Ещё больше увеличивает лечение от аптечек,进一步提升治疗包的治疗量,回復パックの回復量をさらに増加,회복 팩 회복량 추가 증가
skill.berserker.move_1.desc,(generated),Increase move speed,Augmente la vitesse de déplacement,Aumenta la velocità di movimento,Erhöht das Bewegungstempo,Aumenta la velocidad de movimiento,Увеличивает скорость передвижения,提升移动速度,移動速度を増加,이동 속도 증가
skill.berserker.move_1.name,(generated),Fleet Footed,Pied léger,Piede alato,Flinke Füße,Pies ligeros,Быстроногий,健步如飞,俊足,날랜 발
skill.berserker.move_1.upgrade,(generated),Increase move speed further,Augmente encore la vitesse de déplacement,Aumenta ulteriormente la velocità di movimento,Erhöht das Bewegungstempo weiter,Aumenta aún más la velocidad de movimiento,Ещё больше увеличивает скорость передвижения,进一步提升移动速度,移動速度をさらに増加,이동 속도 추가 증가
skill.berserker.pain_1.desc,(generated),Damage taken while charging any attack is added to that attack's damage,Les dégâts subis pendant la charge d'une attaque s'ajoutent aux dégâts de cette attaque,I danni subiti mentre carichi un attacco si aggiungono ai danni di quell'attacco,Erlittener Schaden beim Aufladen eines Angriffs wird dessen Schaden hinzugefügt,El daño recibido mientras cargas un ataque se suma al daño de ese ataque,"Урон, полученный во время зарядки атаки, добавляется к урону этой атаки",蓄力攻击期间受到的伤害会加到该次攻击的伤害上,攻撃チャージ中に受けたダメージがその攻撃のダメージに加算される,공격을 충전하는 동안 받은 피해가 해당 공격의 피해에 추가됩니다
skill.berserker.pain_1.name,(generated),Pain into Power,La douleur en puissance,Dolore in potere,Schmerz zu Macht,Dolor en poder,Боль в силу,化痛为力,痛みを力に,고통을 힘으로
skill.berserker.pain_1.upgrade,(generated),Convert more damage taken into power,Convertit davantage de dégâts subis en puissance,Converte più danni subiti in potere,Wandelt mehr erlittenen Schaden in Macht um,Convierte más daño recibido en poder,Преобразует больше полученного урона в силу,将更多受到的伤害转化为力量,受けたダメージをより多く力に変換,받은 피해를 더 많이 힘으로 전환
skill.berserker.parry.desc,(generated),Chance to parry melee damage when facing your attacker,Chance de parer les dégâts de mêlée en faisant face à votre attaquant,Probabilità di parare i danni corpo a corpo quando affronti l'attaccante,"Chance, Nahkampfschaden zu parieren, wenn du deinem Angreifer zugewandt bist",Probabilidad de parar el daño cuerpo a cuerpo al encarar a tu atacante,"Шанс парировать урон в ближнем бою, когда вы обращены лицом к атакующему",面朝攻击者时有几率招架近战伤害,攻撃者と正対しているとき近接ダメージをパリィする確率,공격자를 마주 볼 때 근접 피해를 패링할 확률
skill.berserker.parry.name,(generated),Parry,Parade,Parata,Parade,Parada,Парирование,格挡反击,パリィ,패링
skill.berserker.parry.upgrade,(generated),Increase parry chance,Augmente les chances de parade,Aumenta la probabilità di parata,Erhöht die Paradechance,Aumenta la probabilidad de parada,Повышает шанс парирования,提高格挡反击几率,パリィ確率を上昇,패링 확률 증가
skill.berserker.plunder.desc,(generated),Increase gold gained from enemies,Augmente l'or obtenu sur les ennemis,Aumenta l'oro ottenuto dai nemici,Erhöht das von Gegnern erhaltene Gold,Aumenta el oro obtenido de los enemigos,Увеличивает золото с врагов,提高从敌人身上获得的金币,敵から得られるゴールドを増加,적에게서 얻는 골드 증가
skill.berserker.plunder.name,(generated),Plunder,Pillage,Saccheggio,Plünderung,Saqueo,Грабёж,掠夺,略奪,약탈
skill.berserker.plunder.upgrade,(generated),Increase gold gained further,Augmente encore l'or obtenu,Aumenta ulteriormente l'oro ottenuto,Erhöht das erhaltene Gold weiter,Aumenta aún más el oro obtenido,Ещё больше увеличивает получаемое золото,进一步提高获得的金币,得られるゴールドをさらに増加,얻는 골드 추가 증가
skill.berserker.rage_fury.desc,(generated),Build rage faster,Accumule la rage plus vite,Accumula rabbia più velocemente,Baut Wut schneller auf,Acumula furia más rápido,Ярость накапливается быстрее,更快积累怒气,レイジの蓄積が速くなる,분노가 더 빠르게 쌓임
skill.berserker.rage_fury.name,(generated),Boiling Blood,Sang bouillant,Sangue bollente,Kochendes Blut,Sangre hirviente,Кипящая кровь,沸腾之血,滾る血潮,끓는 피
skill.berserker.rage_fury.upgrade,(generated),Build rage even faster,Accumule la rage encore plus vite,Accumula rabbia ancora più velocemente,Baut Wut noch schneller auf,Acumula furia aún más rápido,Ярость накапливается ещё быстрее,更快地积累怒气,レイジの蓄積がさらに速くなる,분노가 더욱 빠르게 쌓임
skill.berserker.rage_retain.desc,(generated),Rage lingers longer before draining,La rage persiste plus longtemps avant de s'épuiser,La rabbia persiste più a lungo prima di esaurirsi,Wut hält länger an bevor sie schwindet,La furia perdura más antes de agotarse,Ярость держится дольше прежде чем иссякнуть,怒气消退前持续更久,レイジが消えるまでの持続時間が延長,분노가 소진되기 전까지 더 오래 지속
skill.berserker.rage_retain.name,(generated),Slow Burn,Combustion lente,Fuoco lento,Langsames Feuer,Fuego lento,Медленное пламя,慢火,スローバーン,서서히 타오르는 불꽃
skill.berserker.rage_retain.upgrade,(generated),Rage lingers even longer,La rage persiste encore plus longtemps,La rabbia persiste ancora più a lungo,Wut hält noch länger an,La furia perdura aún más,Ярость держится ещё дольше,怒气持续更久,レイジがさらに長く持続,분노가 더욱 오래 지속
skill.berserker.range_ext.desc,(generated),Increase axe range,Augmente la portée de la hache,Aumenta la portata dell'ascia,Erhöht die Reichweite der Axt,Aumenta el alcance del hacha,Увеличивает дальность топора,提高斧头攻击范围,アックスのリーチを延長,도끼 사거리 증가
skill.berserker.range_ext.name,(generated),Extended Blade,Lame allongée,Lama estesa,Verlängerte Klinge,Hoja extendida,Удлинённый клинок,加长之刃,エクステンドブレード,연장된 칼날
skill.berserker.range_ext.upgrade,(generated),Extend the blade further,Allonge encore la lame,Estende ulteriormente la lama,Verlängert die Klinge weiter,Extiende aún más la hoja,Ещё больше удлиняет клинок,进一步加长刀刃,ブレードをさらに延長,칼날 추가 연장
skill.berserker.solid.desc,(generated),Periodically block 1 damage source,Bloque périodiquement 1 source de dégâts,Blocca periodicamente 1 fonte di danno,Blockt regelmäßig 1 Schadensquelle,Bloquea periódicamente 1 fuente de daño,Периодически блокирует 1 источник урона,定期格挡1次伤害来源,一定間隔でダメージを1回ブロック,주기적으로 피해 1회 방어
skill.berserker.solid.name,(generated),Solid,Inébranlable,Saldezza,Standhaft,Sólido,Несокрушимость,坚如磐石,堅牢,견고함
skill.berserker.solid.upgrade,(generated),Reduce the block cooldown by 1s,Réduit le temps de recharge du blocage de 1 s,Riduce il tempo di recupero del blocco di 1 s,Reduziert die Abklingzeit des Blocks um 1 s,Reduce el enfriamiento del bloqueo en 1 s,Сокращает перезарядку блока на 1 с,格挡冷却时间减少1秒,ブロックのクールダウンを1秒短縮,방어 재사용 대기시간 1초 감소
skill.berserker.sprint.desc,(generated),Increase sprint speed,Augmente la vitesse de sprint,Aumenta la velocità di scatto,Erhöht die Sprintgeschwindigkeit,Aumenta la velocidad de esprint,Увеличивает скорость спринта,提高冲刺速度,スプリント速度を上昇,전력 질주 속도 증가
skill.berserker.sprint.name,(generated),Sprinter,Sprinteur,Velocista,Sprinter,Velocista,Спринтер,冲刺者,スプリンター,스프린터
skill.berserker.sprint.upgrade,(generated),Increase sprint speed further,Augmente encore la vitesse de sprint,Aumenta ulteriormente la velocità di scatto,Erhöht die Sprintgeschwindigkeit weiter,Aumenta aún más la velocidad de esprint,Ещё больше увеличивает скорость спринта,进一步提高冲刺速度,スプリント速度をさらに上昇,전력 질주 속도 추가 증가
skill.berserker.sword_dmg.desc,(generated),Increase axe damage,Augmente les dégâts de la hache,Aumenta i danni dell'ascia,Erhöht den Schaden der Axt,Aumenta el daño del hacha,Увеличивает урон топора,提高斧头伤害,アックスのダメージを上昇,도끼 피해량 증가
skill.berserker.sword_dmg.name,(generated),Sharpened Edge,Tranchant affûté,Filo affilato,Geschärfte Schneide,Filo afilado,Заточенное лезвие,锋锐之刃,シャープエッジ,벼려진 날
skill.berserker.sword_dmg.upgrade,(generated),Sharpen the blade further,Affûte encore la lame,Affila ulteriormente la lama,Schärft die Klinge weiter,Afila aún más la hoja,Ещё сильнее затачивает клинок,进一步磨砺刀刃,ブレードをさらに研ぎ澄ます,칼날 추가 연마
skill.berserker.vamp.desc,(generated),Heal a percentage of the damage you deal,Soigne un pourcentage des dégâts infligés,Cura una percentuale dei danni inflitti,Heilt einen Prozentsatz des verursachten Schadens,Cura un porcentaje del daño infligido,Восстанавливает процент нанесённого урона,治疗相当于造成伤害一定百分比的生命值,与えたダメージの一部を回復,가한 피해의 일정 비율만큼 회복
skill.berserker.vamp.name,(generated),Vampiric Blade,Lame vampirique,Lama vampirica,Vampirklinge,Hoja vampírica,Вампирский клинок,吸血之刃,ヴァンパイアブレード,흡혈의 칼날
skill.berserker.vamp.upgrade,(generated),Heal more of the damage you deal,Soigne davantage des dégâts infligés,Cura una quota maggiore dei danni inflitti,Heilt mehr des verursachten Schadens,Cura más del daño infligido,Восстанавливает больше нанесённого урона,治疗更多造成的伤害,与えたダメージからの回復量が増加,가한 피해로부터 더 많이 회복
skill.gold.alldmg.desc,(generated),Increase all damage,Augmente tous les dégâts,Aumenta tutti i danni,Erhöht sämtlichen Schaden,Aumenta todo el daño,Увеличивает весь урон,提高所有伤害,全ダメージを上昇,모든 피해량 증가
skill.gold.alldmg.name,(generated),Raw Power,Puissance brute,Potenza pura,Rohe Gewalt,Poder bruto,Грубая сила,原始之力,ロウパワー,순수한 힘
skill.gold.alldmg.upgrade,(generated),Increase all damage further,Augmente encore tous les dégâts,Aumenta ulteriormente tutti i danni,Erhöht sämtlichen Schaden weiter,Aumenta aún más todo el daño,Ещё больше увеличивает весь урон,进一步提高所有伤害,全ダメージをさらに上昇,모든 피해량 추가 증가
skill.gold.ampknock.desc,(generated),Charging your weapon also increases knockback,Charger votre arme augmente aussi le recul,Caricare l'arma aumenta anche la repulsione,Das Aufladen der Waffe erhöht auch den Rückstoß,Cargar tu arma también aumenta el empuje,Зарядка оружия также усиливает отбрасывание,蓄力武器还会提高击退效果,武器のチャージでノックバックも増加,무기 충전 시 넉백도 증가
skill.gold.ampknock.name,(generated),Amplified Knockback,Recul amplifié,Repulsione amplificata,Verstärkter Rückstoß,Empuje amplificado,Усиленное отбрасывание,强化击退,アンプリファイドノックバック,증폭된 넉백
skill.gold.ampknock.upgrade,(generated),Increase charge knockback further,Augmente encore le recul de charge,Aumenta ulteriormente la repulsione da carica,Erhöht den Aufladungs-Rückstoß weiter,Aumenta aún más el empuje de carga,Ещё больше усиливает отбрасывание при зарядке,进一步提高蓄力击退,チャージノックバックをさらに増加,충전 넉백 추가 증가
skill.gold.bounce.desc,(generated),Chance for arrows to bounce to additional enemies,Chance que les flèches ricochent sur d'autres ennemis,Probabilità che le frecce rimbalzino su altri nemici,Chance dass Pfeile auf weitere Gegner abprallen,Probabilidad de que las flechas reboten hacia enemigos adicionales,Шанс что стрелы отскочат к другим врагам,箭矢有几率弹射至其他敌人,矢が追加の敵に跳ね返る確率,화살이 추가 적에게 튕길 확률
skill.gold.bounce.name,(generated),Bounce Shot,Tir ricochet,Tiro a rimbalzo,Abprallschuss,Disparo de rebote,Рикошет,弹射之箭,バウンスショット,도탄 사격
skill.gold.bounce.upgrade,(generated),Increase bounce chance,Augmente les chances de ricochet,Aumenta la probabilità di rimbalzo,Erhöht die Abprallchance,Aumenta la probabilidad de rebote,Повышает шанс рикошета,提高弹射几率,バウンス確率を上昇,도탄 확률 증가
skill.gold.bow_dmg.desc,(generated),Increase bow damage,Augmente les dégâts de l'arc,Aumenta i danni dell'arco,Erhöht den Schaden des Bogens,Aumenta el daño del arco,Увеличивает урон лука,提高弓箭伤害,ボウのダメージを上昇,활 피해량 증가
skill.gold.bow_dmg.name,(generated),Stronger String,Corde renforcée,Corda rinforzata,Stärkere Sehne,Cuerda reforzada,Крепкая тетива,强韧弓弦,ストロングストリング,강화된 시위
skill.gold.bow_dmg.upgrade,(generated),Increase bow damage further,Augmente encore les dégâts de l'arc,Aumenta ulteriormente i danni dell'arco,Erhöht den Schaden des Bogens weiter,Aumenta aún más el daño del arco,Ещё больше увеличивает урон лука,进一步提高弓箭伤害,ボウのダメージをさらに上昇,활 피해량 추가 증가
skill.gold.bow_unlock.desc,(generated),Unlock the bow: hold aim to draw and fire arrows,Débloque l'arc : maintenez la visée pour bander et tirer des flèches,Sblocca l'arco: tieni premuta la mira per tendere e scoccare frecce,Schaltet den Bogen frei: Zielen gedrückt halten um Pfeile zu spannen und abzufeuern,Desbloquea el arco: mantén apuntar para tensar y disparar flechas,Открывает лук: удерживайте прицел чтобы натянуть и выпустить стрелу,解锁弓箭：按住瞄准以拉弓射箭,ボウを解放：エイム長押しで弓を引き矢を放つ,활 잠금 해제: 조준을 유지해 시위를 당겨 화살 발사
skill.gold.bow_unlock.name,(generated),Bow,Arc,Arco,Bogen,Arco,Лук,弓,ボウ,활
skill.gold.brainfreeze.desc,(generated),Headshots slow enemy movement and attacks,Les tirs à la tête ralentissent les déplacements et attaques ennemis,I colpi alla testa rallentano movimenti e attacchi nemici,Kopftreffer verlangsamen Bewegung und Angriffe der Gegner,Los disparos a la cabeza ralentizan el movimiento y los ataques enemigos,Выстрелы в голову замедляют движение и атаки врагов,爆头可减缓敌人的移动和攻击,ヘッドショットが敵の移動と攻撃を遅くする,헤드샷이 적의 이동과 공격을 둔화
skill.gold.brainfreeze.name,(generated),Brain Freeze,Gel cérébral,Cervello congelato,Hirnfrost,Cerebro congelado,Заморозка мозга,大脑冻结,ブレインフリーズ,브레인 프리즈
skill.gold.brainfreeze.upgrade,(generated),Increase the headshot slow,Renforce le ralentissement des tirs à la tête,Aumenta il rallentamento dei colpi alla testa,Verstärkt die Verlangsamung durch Kopftreffer,Aumenta la ralentización por disparo a la cabeza,Усиливает замедление от выстрелов в голову,提高爆头减速效果,ヘッドショットの鈍化効果を強化,헤드샷 둔화 효과 증가
